cidade,ano,0a1,1a2,2a3,3a4,4a5,5a6,6a7,7a8,8a9,9a10,acima10
JAU,2016,1826.0,2609.0,3757.0,4436.0,4429.0,5713.0,5194.0,4702.0,5519.0,5059.0,54983.0
JAU,2017,2030.0,2248.0,2749.0,3825.0,4554.0,4546.0,5626.0,5154.0,4689.0,5499.0,59631.0
JAU,2018,2490.0,2570.0,2346.0,2743.0,3843.0,4532.0,4561.0,5618.0,5145.0,4676.0,64662.0
JAU,2019,2491.0,3081.0,2681.0,2408.0,2742.0,3899.0,4561.0,4547.0,5581.0,5080.0,68776.0
JAU,2020,2027.0,3134.0,3126.0,2708.0,2431.0,2792.0,3884.0,4496.0,4500.0,5491.0,73286.0
JAU,2021,2109.0,2431.0,3245.0,3119.0,2650.0,2376.0,2783.0,3808.0,4418.0,4406.0,78122.0
JAU,2022,1886.0,2341.0,2464.0,3268.0,3118.0,2615.0,2382.0,2756.0,3764.0,4394.0,81926.0
JUNDIAI,2015,9474.0,15070.0,18233.0,17400.0,20762.0,18105.0,15306.0,16378.0,14808.0,11648.0,143993.0
JUNDIAI,2016,7269.0,12330.0,15539.0,18048.0,17268.0,20348.0,17632.0,14911.0,16051.0,14508.0,153021.0
JUNDIAI,2017,8883.0,9557.0,12769.0,15701.0,17792.0,16895.0,19907.0,17322.0,14554.0,15736.0,164931.0
JUNDIAI,2018,10826.0,11613.0,9943.0,12789.0,15593.0,17474.0,16553.0,19411.0,16837.0,14169.0,177755.0
JUNDIAI,2019,11099.0,14039.0,12419.0,10012.0,12552.0,15124.0,16918.0,15908.0,18637.0,16279.0,188665.0
JUNDIAI,2020,7134.0,14021.0,14604.0,12300.0,9823.0,12152.0,14627.0,16322.0,15406.0,17967.0,201747.0
JUNDIAI,2021,9147.0,8863.0,15025.0,14785.0,12052.0,9520.0,11871.0,14261.0,16033.0,15111.0,216829.0
JUNDIAI,2022,8788.0,10314.0,9299.0,15294.0,14828.0,11932.0,9314.0,11686.0,14011.0,15851.0,229385.0
LIMEIRA,2015,4309.0,7799.0,9808.0,9497.0,11075.0,10457.0,8985.0,11149.0,10228.0,8344.0,105980.0
LIMEIRA,2016,3508.0,5696.0,7973.0,9811.0,9620.0,11136.0,10505.0,9029.0,11103.0,10243.0,113447.0
LIMEIRA,2017,4218.0,4769.0,5905.0,7950.0,9941.0,9698.0,11242.0,10670.0,9125.0,11214.0,123232.0
LIMEIRA,2018,5475.0,5310.0,4977.0,5855.0,8181.0,10046.0,9771.0,11386.0,10774.0,9197.0,133800.0
LIMEIRA,2019,5840.0,6775.0,5577.0,5094.0,6080.0,8402.0,10258.0,9944.0,11472.0,10840.0,142105.0
LIMEIRA,2020,4310.0,7200.0,7039.0,5623.0,5124.0,6102.0,8371.0,10248.0,9886.0,11414.0,151351.0
LIMEIRA,2021,5368.0,5300.0,7553.0,7263.0,5900.0,5218.0,6246.0,8560.0,10363.0,9937.0,161758.0
LIMEIRA,2022,5043.0,5853.0,5464.0,7793.0,7368.0,6002.0,5274.0,6317.0,8623.0,10286.0,170818.0
MARILIA,2015,4391.0,7092.0,8272.0,8390.0,9107.0,8035.0,7566.0,8580.0,6805.0,5398.0,77625.0
MARILIA,2016,3773.0,5435.0,7147.0,8269.0,8344.0,9062.0,7998.0,7565.0,8538.0,6810.0,82667.0
MARILIA,2017,4611.0,4906.0,5529.0,7088.0,8225.0,8265.0,8870.0,7858.0,7495.0,8504.0,89068.0
MARILIA,2018,5449.0,5858.0,4895.0,5471.0,7000.0,8013.0,8131.0,8822.0,7799.0,7446.0,96933.0
MARILIA,2019,5600.0,6848.0,5957.0,4837.0,5404.0,6900.0,7899.0,8025.0,8652.0,7746.0,103683.0
MARILIA,2020,4069.0,6965.0,6877.0,5836.0,4737.0,5330.0,6783.0,7801.0,7918.0,8546.0,110648.0
MARILIA,2021,4640.0,4811.0,7188.0,6732.0,5628.0,4651.0,5324.0,6717.0,7826.0,7955.0,118188.0
MARILIA,2022,4228.0,4919.0,4841.0,7245.0,6581.0,5483.0,4545.0,5232.0,6662.0,7730.0,125336.0
MAUA,2015,3530.0,6144.0,7421.0,7414.0,9738.0,9881.0,8341.0,11139.0,9564.0,7756.0,120694.0
MAUA,2016,2534.0,4562.0,6459.0,7614.0,7860.0,10233.0,10242.0,8644.0,11506.0,9948.0,128855.0
